,food items,Allergy,Avg Serving Size,Calories,Category,Carbs,Total Fat,Saturated Fat,Protein,Fiber,Cholesterol,Sodium,Sugar,Potassium,Magnesium,Phosphorus,Vitamin C,Vitamin A,Calcium,Iron,Zinc,Vitamin E,Vitamin K,Serving_Size_Grams,Calories_per_100g,Carbs_per_100g,Total Fat_per_100g,Saturated Fat_per_100g,Protein_per_100g,Fiber_per_100g,Cholesterol_per_100g,Sodium_per_100g,Sugar_per_100g,Potassium_per_100g,Magnesium_per_100g,Phosphorus_per_100g,Vitamin C_per_100g,Vitamin A_per_100g,Calcium_per_100g,Iron_per_100g,Zinc_per_100g,Vitamin E_per_100g,Vitamin K_per_100g
0,Almond,Nut Allergy,28.0,161.28,Healthy Fats,6.076,13.832,1.036,5.936,3.5,0.0,0.28,1.232,205.24,75.6,135.52,0.0,0.28,73.92,1.036,0.868,7.168,0.0,28.0,576.0,21.7,49.400000000000006,3.6999999999999997,21.2,12.5,0.0,1.0,4.3999999999999995,733.0,270.0,484.00000000000006,0.0,1.0,264.0,3.6999999999999997,3.1,25.6,0.0
1,Apple,Oral Allergy Syndrome,182.0,94.64,Fruits,25.48,0.364,0.182,0.546,4.368,0.0,0.0,18.2,194.74,9.1,20.02,8.372,10.92,0.3276,4.004,10.92,0.182,0.091,182.0,52.0,14.000000000000002,0.2,0.1,0.3,2.4,0.0,0.0,10.0,107.0,5.0,11.0,4.6,6.0,0.18,2.1999999999999997,6.0,0.1,0.05
2,Apricot,Stone Fruit Allergy,55.0,26.4,Fruits,6.05,0.22,0.0,0.77,1.1,0.0,0.55,4.95,142.45,5.5,12.65,5.5,1059.3,0.4895,1.705,7.15,0.2145,0.11,55.0,48.0,11.0,0.4,0.0,1.4000000000000001,2.0,0.0,1.0,9.0,259.0,10.0,23.0,10.0,1925.9999999999998,0.89,3.1,13.0,0.38999999999999996,0.2
4,Asparagus,Allium Allergy,100.0,20.0,Vegetables,3.88,0.16,0.05,2.2,2.1,0.0,2.0,1.88,202.0,14.0,52.0,5.6,756.0,0.16,41.6,20.0,1.14,0.54,100.0,20.0,3.88,0.16,0.05,2.2,2.1,0.0,2.0,1.8799999999999997,202.0,14.000000000000002,52.0,5.6,756.0,0.16,41.6,20.0,1.14,0.54
5,Avocado,Oral Allergy Syndrome,30.0,48.0,Fruits,2.7,0.6,0.09,0.6,0.6,0.0,0.0,0.06,75.0,8.7,15.6,3.0,2.1,0.621,6.3,3.6,0.18,0.18,30.0,160.0,9.000000000000002,2.0,0.3,2.0,2.0,0.0,0.0,0.2,250.0,28.999999999999996,52.0,10.0,7.000000000000001,2.07,21.0,12.000000000000002,0.6,0.6
7,Banana,Banana Allergy,118.0,105.02,Fruits,27.14,0.354,0.118,1.298,3.068,0.0,1.18,14.16,422.44,31.86,25.96,10.266,1.18,0.118,0.59,5.9,0.354,0.177,118.0,89.0,23.0,0.3,0.1,1.1,2.6,0.0,1.0,12.0,358.0,27.0,22.0,8.7,1.0,0.1,0.5,5.0,0.3,0.15
15,Broccoli,Broccoli allergy,91.0,30.94,Vegetables,6.006,0.364,0.091,2.548,2.366,0.0,30.03,1.547,287.56,19.11,60.06,81.172,566.93,0.7098,92.456,42.77,0.6643,0.5915,91.0,34.0,6.6000000000000005,0.4,0.1,2.8000000000000003,2.6,0.0,33.0,1.6999999999999997,316.0,21.0,66.0,89.2,623.0,0.7799999999999999,101.6,47.0,0.73,0.65
19,Butter,Milk allergy / Lactose intolerance,7.05,49.35,Dairy,0.0432,58.3992,36.9864,0.612,0.0,154.8,492.48,0.0432,17.28,1.44,17.28,0.0,1799.28,1.6704,5.04,17.28,0.0144,0.0648,7.05,700.0,0.6127659574468086,828.3574468085106,524.6297872340426,8.680851063829788,0.0,2195.744680851064,6985.531914893618,0.6127659574468086,245.10638297872345,20.425531914893615,245.10638297872345,0.0,25521.702127659573,23.693617021276598,71.48936170212767,245.10638297872345,0.20425531914893616,0.9191489361702128
23,Cabbage,Cruciferous Allergy,70.0,17.5,Vegetables,4.06,0.07,0.0,0.91,1.75,0.0,12.6,2.24,119.0,8.4,18.2,25.62,68.6,0.105,53.2,28.0,0.329,0.126,70.0,25.0,5.8,0.1,0.0,1.3,2.5,0.0,18.0,3.2,170.0,12.000000000000002,26.0,36.6,97.99999999999999,0.15,76.0,40.0,0.47000000000000003,0.18
29,Cauliflower,Cruciferous Allergy,100.0,25.0,Vegetables,5.0,0.3,0.1,2.0,2.3,0.0,30.0,1.9,299.0,15.0,44.0,48.2,0.0,0.08,15.5,22.0,0.42,0.29,100.0,25.0,5.0,0.3,0.1,2.0,2.3,0.0,30.0,1.9,299.0,15.0,44.0,48.2,0.0,0.08,15.5,22.0,0.42,0.29
